Agency,variable,value,binary
Comm for People Who Are Blind/Severly Disabled,Defaults to HTTPS,3,Yes
Comm for People Who Are Blind/Severly Disabled,Downgrades HTTPS,3,Yes
Comm for People Who Are Blind/Severly Disabled,HSTS,3,Yes
Comm for People Who Are Blind/Severly Disabled,HSTS All Subdomains,3,Yes
Comm for People Who Are Blind/Severly Disabled,HSTS Preload Ready,3,Yes
Comm for People Who Are Blind/Severly Disabled,HTTPS Bad Chain,3,Yes
Comm for People Who Are Blind/Severly Disabled,HTTPS Bad Hostname,3,Yes
Comm for People Who Are Blind/Severly Disabled,Live,1,Yes
Comm for People Who Are Blind/Severly Disabled,Redirect,3,Yes
Comm for People Who Are Blind/Severly Disabled,Strictly Forces HTTPS,3,Yes
Comm for People Who Are Blind/Severly Disabled,Valid HTTPS,3,Yes
Commodity Futures Trading Commission,Broken Root,1,Yes
Commodity Futures Trading Commission,Broken WWW,2,Yes
Commodity Futures Trading Commission,Defaults to HTTPS,2,Yes
Commodity Futures Trading Commission,Downgrades HTTPS,1,Yes
Commodity Futures Trading Commission,HSTS,2,Yes
Commodity Futures Trading Commission,HSTS All Subdomains,2,Yes
Commodity Futures Trading Commission,HSTS Preload Ready,2,Yes
Commodity Futures Trading Commission,HTTPS Bad Chain,2,Yes
Commodity Futures Trading Commission,HTTPS Bad Hostname,2,Yes
Commodity Futures Trading Commission,Live,0,Yes
Commodity Futures Trading Commission,Redirect,2,Yes
Commodity Futures Trading Commission,Strictly Forces HTTPS,2,Yes
Commodity Futures Trading Commission,Valid HTTPS,1,Yes
Congressional Office of Compliance,Broken Root,1,Yes
Congressional Office of Compliance,Broken WWW,1,Yes
Congressional Office of Compliance,Defaults to HTTPS,1,Yes
Congressional Office of Compliance,Downgrades HTTPS,1,Yes
Congressional Office of Compliance,HSTS,1,Yes
Congressional Office of Compliance,HSTS All Subdomains,1,Yes
Congressional Office of Compliance,HSTS Preload Ready,1,Yes
Congressional Office of Compliance,HTTPS Bad Chain,0,Yes
Congressional Office of Compliance,HTTPS Bad Hostname,1,Yes
