Agency,variable,value,binary
Equal Employment Opportunity Commission,HTTPS Bad Hostname,1,Yes
Equal Employment Opportunity Commission,Live,0,Yes
Equal Employment Opportunity Commission,Redirect,1,Yes
Equal Employment Opportunity Commission,Strictly Forces HTTPS,1,Yes
Equal Employment Opportunity Commission,Valid HTTPS,1,Yes
Executive Office of the President,Broken Root,30,Yes
Executive Office of the President,Broken WWW,31,Yes
Executive Office of the President,Defaults to HTTPS,27,Yes
Executive Office of the President,Downgrades HTTPS,32,Yes
Executive Office of the President,HSTS,23,Yes
Executive Office of the President,HSTS All Subdomains,24,Yes
Executive Office of the President,HSTS Preload Ready,26,Yes
Executive Office of the President,HTTPS Bad Chain,30,Yes
Executive Office of the President,HTTPS Bad Hostname,33,Yes
Executive Office of the President,Live,2,Yes
Executive Office of the President,Redirect,14,Yes
Executive Office of the President,Strictly Forces HTTPS,25,Yes
Executive Office of the President,Valid HTTPS,11,Yes
Export/Import Bank of the U.S.,Broken Root,1,Yes
Export/Import Bank of the U.S.,Broken WWW,2,Yes
Export/Import Bank of the U.S.,Defaults to HTTPS,2,Yes
Export/Import Bank of the U.S.,Downgrades HTTPS,2,Yes
Export/Import Bank of the U.S.,HSTS,2,Yes
Export/Import Bank of the U.S.,HSTS All Subdomains,2,Yes
Export/Import Bank of the U.S.,HSTS Preload Ready,2,Yes
Export/Import Bank of the U.S.,HTTPS Bad Chain,2,Yes
Export/Import Bank of the U.S.,HTTPS Bad Hostname,2,Yes
Export/Import Bank of the U.S.,Live,0,Yes
Export/Import Bank of the U.S.,Redirect,2,Yes
Export/Import Bank of the U.S.,Strictly Forces HTTPS,2,Yes
Export/Import Bank of the U.S.,Valid HTTPS,2,Yes
Farm Credit Administration,Broken Root,2,Yes
Farm Credit Administration,Broken WWW,2,Yes
Farm Credit Administration,Defaults to HTTPS,2,Yes
Farm Credit Administration,Downgrades HTTPS,2,Yes
Farm Credit Administration,HSTS,2,Yes
Farm Credit Administration,HSTS All Subdomains,2,Yes
Farm Credit Administration,HSTS Preload Ready,2,Yes
Farm Credit Administration,HTTPS Bad Chain,2,Yes
Farm Credit Administration,HTTPS Bad Hostname,2,Yes
Farm Credit Administration,Live,0,Yes
Farm Credit Administration,Redirect,2,Yes
Farm Credit Administration,Strictly Forces HTTPS,2,Yes
Farm Credit Administration,Valid HTTPS,1,Yes
Federal Communications Commission,Broken Root,8,Yes
Federal Communications Commission,Broken WWW,8,Yes
Federal Communications Commission,Defaults to HTTPS,8,Yes
Federal Communications Commission,Downgrades HTTPS,8,Yes
Federal Communications Commission,HSTS,8,Yes
Federal Communications Commission,HSTS All Subdomains,8,Yes
Federal Communications Commission,HSTS Preload Ready,8,Yes
Federal Communications Commission,HTTPS Bad Chain,6,Yes
Federal Communications Commission,HTTPS Bad Hostname,8,Yes
Federal Communications Commission,Live,0,Yes
Federal Communications Commission,Redirect,4,Yes
Federal Communications Commission,Strictly Forces HTTPS,7,Yes
Federal Communications Commission,Valid HTTPS,8,Yes
Federal Deposit Insurance Corporation,Broken Root,8,Yes
Federal Deposit Insurance Corporation,Broken WWW,10,Yes
Federal Deposit Insurance Corporation,Defaults to HTTPS,8,Yes
Federal Deposit Insurance Corporation,Downgrades HTTPS,10,Yes
Federal Deposit Insurance Corporation,HSTS,10,Yes
Federal Deposit Insurance Corporation,HSTS All Subdomains,10,Yes
Federal Deposit Insurance Corporation,HSTS Preload Ready,10,Yes
Federal Deposit Insurance Corporation,HTTPS Bad Chain,9,Yes
Federal Deposit Insurance Corporation,HTTPS Bad Hostname,10,Yes
Federal Deposit Insurance Corporation,Live,0,Yes
Federal Deposit Insurance Corporation,Redirect,9,Yes
Federal Deposit Insurance Corporation,Strictly Forces HTTPS,7,Yes
Federal Deposit Insurance Corporation,Valid HTTPS,8,Yes
Federal Elections Commission,Broken Root,1,Yes
Federal Elections Commission,Broken WWW,1,Yes
Federal Elections Commission,Defaults to HTTPS,1,Yes
Federal Elections Commission,Downgrades HTTPS,1,Yes
Federal Elections Commission,HSTS,1,Yes
Federal Elections Commission,HSTS All Subdomains,1,Yes
Federal Elections Commission,HSTS Preload Ready,1,Yes
Federal Elections Commission,HTTPS Bad Chain,1,Yes
Federal Elections Commission,HTTPS Bad Hostname,1,Yes
Federal Elections Commission,Live,0,Yes
Federal Elections Commission,Redirect,1,Yes
Federal Elections Commission,Strictly Forces HTTPS,1,Yes
Federal Elections Commission,Valid HTTPS,1,Yes
Federal Energy Regulatory Commission,Broken Root,2,Yes
Federal Energy Regulatory Commission,Broken WWW,2,Yes
Federal Energy Regulatory Commission,Defaults to HTTPS,2,Yes
Federal Energy Regulatory Commission,Downgrades HTTPS,2,Yes
Federal Energy Regulatory Commission,HSTS,2,Yes
Federal Energy Regulatory Commission,HSTS All Subdomains,2,Yes
Federal Energy Regulatory Commission,HSTS Preload Ready,2,Yes
Federal Energy Regulatory Commission,HTTPS Bad Chain,1,Yes
Federal Energy Regulatory Commission,HTTPS Bad Hostname,2,Yes
Federal Energy Regulatory Commission,Live,0,Yes
Federal Energy Regulatory Commission,Redirect,2,Yes
Federal Energy Regulatory Commission,Strictly Forces HTTPS,2,Yes
Federal Energy Regulatory Commission,Valid HTTPS,2,Yes
Federal Housing Finance Agency,Broken Root,2,Yes
Federal Housing Finance Agency,Broken WWW,3,Yes
Federal Housing Finance Agency,Defaults to HTTPS,4,Yes
Federal Housing Finance Agency,Downgrades HTTPS,3,Yes
Federal Housing Finance Agency,HSTS,4,Yes
Federal Housing Finance Agency,HSTS All Subdomains,4,Yes
Federal Housing Finance Agency,HSTS Preload Ready,4,Yes
Federal Housing Finance Agency,HTTPS Bad Chain,4,Yes
Federal Housing Finance Agency,HTTPS Bad Hostname,4,Yes
Federal Housing Finance Agency,Live,1,Yes
Federal Housing Finance Agency,Redirect,4,Yes
Federal Housing Finance Agency,Strictly Forces HTTPS,4,Yes
Federal Housing Finance Agency,Valid HTTPS,3,Yes
Federal Housing Finance Agency Office of Inspector General,Broken Root,1,Yes
Federal Housing Finance Agency Office of Inspector General,Broken WWW,1,Yes
Federal Housing Finance Agency Office of Inspector General,Defaults to HTTPS,0,Yes
Federal Housing Finance Agency Office of Inspector General,Downgrades HTTPS,1,Yes
Federal Housing Finance Agency Office of Inspector General,HSTS,1,Yes
Federal Housing Finance Agency Office of Inspector General,HSTS All Subdomains,1,Yes
Federal Housing Finance Agency Office of Inspector General,HSTS Preload Ready,1,Yes
Federal Housing Finance Agency Office of Inspector General,HTTPS Bad Chain,0,Yes
Federal Housing Finance Agency Office of Inspector General,HTTPS Bad Hostname,1,Yes
Federal Housing Finance Agency Office of Inspector General,Live,0,Yes
Federal Housing Finance Agency Office of Inspector General,Redirect,1,Yes
Federal Housing Finance Agency Office of Inspector General,Strictly Forces HTTPS,0,Yes
Federal Housing Finance Agency Office of Inspector General,Valid HTTPS,1,Yes
Federal Labor Relations Authority,Broken Root,1,Yes
Federal Labor Relations Authority,Broken WWW,1,Yes
Federal Labor Relations Authority,Defaults to HTTPS,1,Yes
Federal Labor Relations Authority,Downgrades HTTPS,1,Yes
Federal Labor Relations Authority,HSTS,1,Yes
Federal Labor Relations Authority,HSTS All Subdomains,1,Yes
Federal Labor Relations Authority,HSTS Preload Ready,1,Yes
Federal Labor Relations Authority,HTTPS Bad Chain,0,Yes
Federal Labor Relations Authority,HTTPS Bad Hostname,1,Yes
Federal Labor Relations Authority,Live,0,Yes
Federal Labor Relations Authority,Redirect,1,Yes
Federal Labor Relations Authority,Strictly Forces HTTPS,1,Yes
Federal Labor Relations Authority,Valid HTTPS,1,Yes
Federal Maritime Commission,Broken Root,1,Yes
Federal Maritime Commission,Broken WWW,1,Yes
Federal Maritime Commission,Defaults to HTTPS,1,Yes
Federal Maritime Commission,Downgrades HTTPS,1,Yes
Federal Maritime Commission,HSTS,1,Yes
Federal Maritime Commission,HSTS All Subdomains,1,Yes
Federal Maritime Commission,HSTS Preload Ready,1,Yes
Federal Maritime Commission,HTTPS Bad Chain,1,Yes
Federal Maritime Commission,HTTPS Bad Hostname,1,Yes
Federal Maritime Commission,Live,0,Yes
Federal Maritime Commission,Redirect,1,Yes
Federal Maritime Commission,Strictly Forces HTTPS,1,Yes
Federal Maritime Commission,Valid HTTPS,1,Yes
Federal Mediation and Conciliation Service,Broken Root,1,Yes
Federal Mediation and Conciliation Service,Broken WWW,1,Yes
Federal Mediation and Conciliation Service,Defaults to HTTPS,1,Yes
Federal Mediation and Conciliation Service,Downgrades HTTPS,0,Yes
Federal Mediation and Conciliation Service,HSTS,1,Yes
Federal Mediation and Conciliation Service,HSTS All Subdomains,1,Yes
Federal Mediation and Conciliation Service,HSTS Preload Ready,1,Yes
Federal Mediation and Conciliation Service,HTTPS Bad Chain,1,Yes
Federal Mediation and Conciliation Service,HTTPS Bad Hostname,1,Yes
Federal Mediation and Conciliation Service,Live,0,Yes
Federal Mediation and Conciliation Service,Redirect,1,Yes
Federal Mediation and Conciliation Service,Strictly Forces HTTPS,1,Yes
Federal Mediation and Conciliation Service,Valid HTTPS,0,Yes
Federal Reserve System,Broken Root,4,Yes
Federal Reserve System,Broken WWW,8,Yes
Federal Reserve System,Defaults to HTTPS,13,Yes
Federal Reserve System,Downgrades HTTPS,13,Yes
Federal Reserve System,HSTS,14,Yes
Federal Reserve System,HSTS All Subdomains,14,Yes
Federal Reserve System,HSTS Preload Ready,14,Yes
Federal Reserve System,HTTPS Bad Chain,13,Yes
Federal Reserve System,HTTPS Bad Hostname,14,Yes
Federal Reserve System,Live,6,Yes
Federal Reserve System,Redirect,14,Yes
Federal Reserve System,Strictly Forces HTTPS,13,Yes
Federal Reserve System,Valid HTTPS,9,Yes
Federal Retirement Thrift Investment Board,Broken Root,3,Yes
Federal Retirement Thrift Investment Board,Broken WWW,5,Yes
Federal Retirement Thrift Investment Board,Defaults to HTTPS,4,Yes
Federal Retirement Thrift Investment Board,Downgrades HTTPS,5,Yes
Federal Retirement Thrift Investment Board,HSTS,5,Yes
Federal Retirement Thrift Investment Board,HSTS All Subdomains,5,Yes
Federal Retirement Thrift Investment Board,HSTS Preload Ready,5,Yes
Federal Retirement Thrift Investment Board,HTTPS Bad Chain,4,Yes
Federal Retirement Thrift Investment Board,HTTPS Bad Hostname,5,Yes
Federal Retirement Thrift Investment Board,Live,0,Yes
Federal Retirement Thrift Investment Board,Redirect,5,Yes
Federal Retirement Thrift Investment Board,Strictly Forces HTTPS,3,Yes
Federal Retirement Thrift Investment Board,Valid HTTPS,4,Yes
Federal Trade Commission,Broken Root,20,Yes
Federal Trade Commission,Broken WWW,21,Yes
Federal Trade Commission,Defaults to HTTPS,18,Yes
Federal Trade Commission,Downgrades HTTPS,24,Yes
Federal Trade Commission,HSTS,20,Yes
Federal Trade Commission,HSTS All Subdomains,20,Yes
Federal Trade Commission,HSTS Preload Ready,20,Yes
Federal Trade Commission,HTTPS Bad Chain,22,Yes
Federal Trade Commission,HTTPS Bad Hostname,24,Yes
Federal Trade Commission,Live,2,Yes
Federal Trade Commission,Redirect,17,Yes
Federal Trade Commission,Strictly Forces HTTPS,18,Yes
Federal Trade Commission,Valid HTTPS,12,Yes
General Services Administration,Broken Root,91,Yes
General Services Administration,Broken WWW,92,Yes
General Services Administration,Defaults to HTTPS,75,Yes
General Services Administration,Downgrades HTTPS,88,Yes
General Services Administration,HSTS,99,Yes
General Services Administration,HSTS All Subdomains,99,Yes
General Services Administration,HSTS Preload Ready,99,Yes
General Services Administration,HTTPS Bad Chain,62,Yes
General Services Administration,HTTPS Bad Hostname,104,Yes
General Services Administration,Live,11,Yes
General Services Administration,Redirect,73,Yes
General Services Administration,Strictly Forces HTTPS,76,Yes
General Services Administration,Valid HTTPS,65,Yes
Government Printing Office,Broken Root,14,Yes
Government Printing Office,Broken WWW,23,Yes
Government Printing Office,Defaults to HTTPS,23,Yes
Government Printing Office,Downgrades HTTPS,24,Yes
Government Printing Office,HSTS,23,Yes
Government Printing Office,HSTS All Subdomains,23,Yes
Government Printing Office,HSTS Preload Ready,23,Yes
Government Printing Office,HTTPS Bad Chain,24,Yes
Government Printing Office,HTTPS Bad Hostname,24,Yes
Government Printing Office,Live,1,Yes
Government Printing Office,Redirect,15,Yes
Government Printing Office,Strictly Forces HTTPS,24,Yes
Government Printing Office,Valid HTTPS,21,Yes
Harry S. Truman Scholarship Foundation,Broken Root,1,Yes
Harry S. Truman Scholarship Foundation,Broken WWW,1,Yes
Harry S. Truman Scholarship Foundation,Defaults to HTTPS,1,Yes
Harry S. Truman Scholarship Foundation,Downgrades HTTPS,1,Yes
Harry S. Truman Scholarship Foundation,HSTS,1,Yes
Harry S. Truman Scholarship Foundation,HSTS All Subdomains,1,Yes
Harry S. Truman Scholarship Foundation,HSTS Preload Ready,1,Yes
Harry S. Truman Scholarship Foundation,HTTPS Bad Chain,0,Yes
Harry S. Truman Scholarship Foundation,HTTPS Bad Hostname,1,Yes
Harry S. Truman Scholarship Foundation,Live,0,Yes
Harry S. Truman Scholarship Foundation,Redirect,1,Yes
Harry S. Truman Scholarship Foundation,Strictly Forces HTTPS,1,Yes
Harry S. Truman Scholarship Foundation,Valid HTTPS,1,Yes
Indian Affairs,Broken Root,102,Yes
Indian Affairs,Broken WWW,115,Yes
Indian Affairs,Defaults to HTTPS,166,Yes
Indian Affairs,Downgrades HTTPS,163,Yes
Indian Affairs,HSTS,166,Yes
Indian Affairs,HSTS All Subdomains,166,Yes
Indian Affairs,HSTS Preload Ready,167,Yes
Indian Affairs,HTTPS Bad Chain,106,Yes
Indian Affairs,HTTPS Bad Hostname,167,Yes
Indian Affairs,Live,49,Yes
Indian Affairs,Redirect,155,Yes
Indian Affairs,Strictly Forces HTTPS,157,Yes
Indian Affairs,Valid HTTPS,153,Yes
Institute of Museum and Library Services,Broken Root,1,Yes
Institute of Museum and Library Services,Broken WWW,1,Yes
Institute of Museum and Library Services,Defaults to HTTPS,1,Yes
Institute of Museum and Library Services,Downgrades HTTPS,1,Yes
Institute of Museum and Library Services,HSTS,1,Yes
Institute of Museum and Library Services,HSTS All Subdomains,1,Yes
Institute of Museum and Library Services,HSTS Preload Ready,1,Yes
Institute of Museum and Library Services,HTTPS Bad Chain,1,Yes
Institute of Museum and Library Services,HTTPS Bad Hostname,1,Yes
Institute of Museum and Library Services,Live,0,Yes
Institute of Museum and Library Services,Redirect,1,Yes
Institute of Museum and Library Services,Strictly Forces HTTPS,1,Yes
Institute of Museum and Library Services,Valid HTTPS,1,Yes
Inter-American Foundation,Broken Root,1,Yes
Inter-American Foundation,Broken WWW,1,Yes
Inter-American Foundation,Defaults to HTTPS,1,Yes
Inter-American Foundation,Downgrades HTTPS,1,Yes
Inter-American Foundation,HSTS,1,Yes
Inter-American Foundation,HSTS All Subdomains,1,Yes
Inter-American Foundation,HSTS Preload Ready,1,Yes
Inter-American Foundation,HTTPS Bad Chain,1,Yes
Inter-American Foundation,HTTPS Bad Hostname,1,Yes
Inter-American Foundation,Live,0,Yes
Inter-American Foundation,Redirect,1,Yes
Inter-American Foundation,Strictly Forces HTTPS,1,Yes
Inter-American Foundation,Valid HTTPS,1,Yes
International Broadcasting Bureau,Broken Root,3,Yes
International Broadcasting Bureau,Broken WWW,3,Yes
International Broadcasting Bureau,Defaults to HTTPS,3,Yes
International Broadcasting Bureau,Downgrades HTTPS,3,Yes
International Broadcasting Bureau,HSTS,3,Yes
International Broadcasting Bureau,HSTS All Subdomains,3,Yes
International Broadcasting Bureau,HSTS Preload Ready,3,Yes
International Broadcasting Bureau,HTTPS Bad Chain,0,Yes
International Broadcasting Bureau,HTTPS Bad Hostname,3,Yes
International Broadcasting Bureau,Live,0,Yes
International Broadcasting Bureau,Redirect,1,Yes
International Broadcasting Bureau,Strictly Forces HTTPS,3,Yes
International Broadcasting Bureau,Valid HTTPS,3,Yes
James Madison Memorial Fellowship Foundation,Broken Root,1,Yes
James Madison Memorial Fellowship Foundation,Broken WWW,1,Yes
James Madison Memorial Fellowship Foundation,Defaults to HTTPS,1,Yes
James Madison Memorial Fellowship Foundation,Downgrades HTTPS,1,Yes
James Madison Memorial Fellowship Foundation,HSTS,1,Yes
James Madison Memorial Fellowship Foundation,HSTS All Subdomains,1,Yes
James Madison Memorial Fellowship Foundation,HSTS Preload Ready,1,Yes
James Madison Memorial Fellowship Foundation,HTTPS Bad Chain,0,Yes
James Madison Memorial Fellowship Foundation,HTTPS Bad Hostname,1,Yes
James Madison Memorial Fellowship Foundation,Live,0,Yes
James Madison Memorial Fellowship Foundation,Redirect,1,Yes
James Madison Memorial Fellowship Foundation,Strictly Forces HTTPS,1,Yes
James Madison Memorial Fellowship Foundation,Valid HTTPS,1,Yes
Legal Services Corporation,Broken Root,1,Yes
Legal Services Corporation,Broken WWW,1,Yes
Legal Services Corporation,Defaults to HTTPS,1,Yes
Legal Services Corporation,Downgrades HTTPS,1,Yes
Legal Services Corporation,HSTS,1,Yes
Legal Services Corporation,HSTS All Subdomains,1,Yes
Legal Services Corporation,HSTS Preload Ready,1,Yes
Legal Services Corporation,HTTPS Bad Chain,0,Yes
Legal Services Corporation,HTTPS Bad Hostname,1,Yes
Legal Services Corporation,Live,0,Yes
Legal Services Corporation,Redirect,1,Yes
Legal Services Corporation,Strictly Forces HTTPS,1,Yes
Legal Services Corporation,Valid HTTPS,1,Yes
Library of Congress,Broken Root,42,Yes
Library of Congress,Broken WWW,42,Yes
Library of Congress,Defaults to HTTPS,44,Yes
Library of Congress,Downgrades HTTPS,44,Yes
Library of Congress,HSTS,45,Yes
Library of Congress,HSTS All Subdomains,45,Yes
Library of Congress,HSTS Preload Ready,45,Yes
Library of Congress,HTTPS Bad Chain,11,Yes
Library of Congress,HTTPS Bad Hostname,45,Yes
Library of Congress,Live,3,Yes
Library of Congress,Redirect,35,Yes
Library of Congress,Strictly Forces HTTPS,44,Yes
Library of Congress,Valid HTTPS,42,Yes
Marine Mammal Commission,Broken Root,1,Yes
Marine Mammal Commission,Broken WWW,1,Yes
Marine Mammal Commission,Defaults to HTTPS,1,Yes
Marine Mammal Commission,Downgrades HTTPS,1,Yes
Marine Mammal Commission,HSTS,1,Yes
Marine Mammal Commission,HSTS All Subdomains,1,Yes
Marine Mammal Commission,HSTS Preload Ready,1,Yes
Marine Mammal Commission,HTTPS Bad Chain,1,Yes
Marine Mammal Commission,HTTPS Bad Hostname,1,Yes
Marine Mammal Commission,Live,0,Yes
Marine Mammal Commission,Redirect,1,Yes
Marine Mammal Commission,Strictly Forces HTTPS,1,Yes
Marine Mammal Commission,Valid HTTPS,1,Yes
Medicaid and CHIP Payment and Access Commission,Broken Root,1,Yes
Medicaid and CHIP Payment and Access Commission,Broken WWW,1,Yes
Medicaid and CHIP Payment and Access Commission,Defaults to HTTPS,0,Yes
Medicaid and CHIP Payment and Access Commission,Downgrades HTTPS,1,Yes
Medicaid and CHIP Payment and Access Commission,HSTS,1,Yes
Medicaid and CHIP Payment and Access Commission,HSTS All Subdomains,1,Yes
Medicaid and CHIP Payment and Access Commission,HSTS Preload Ready,1,Yes
Medicaid and CHIP Payment and Access Commission,HTTPS Bad Chain,1,Yes
Medicaid and CHIP Payment and Access Commission,HTTPS Bad Hostname,1,Yes
Medicaid and CHIP Payment and Access Commission,Live,0,Yes
Medicaid and CHIP Payment and Access Commission,Redirect,1,Yes
Medicaid and CHIP Payment and Access Commission,Strictly Forces HTTPS,0,Yes
Medicaid and CHIP Payment and Access Commission,Valid HTTPS,0,Yes
Medical Payment Advisory Commission,Broken Root,1,Yes
Medical Payment Advisory Commission,Broken WWW,1,Yes
Medical Payment Advisory Commission,Defaults to HTTPS,1,Yes
Medical Payment Advisory Commission,Downgrades HTTPS,1,Yes
Medical Payment Advisory Commission,HSTS,1,Yes
Medical Payment Advisory Commission,HSTS All Subdomains,1,Yes
Medical Payment Advisory Commission,HSTS Preload Ready,1,Yes
Medical Payment Advisory Commission,HTTPS Bad Chain,1,Yes
Medical Payment Advisory Commission,HTTPS Bad Hostname,1,Yes
Medical Payment Advisory Commission,Live,0,Yes
Medical Payment Advisory Commission,Redirect,1,Yes
Medical Payment Advisory Commission,Strictly Forces HTTPS,1,Yes
Medical Payment Advisory Commission,Valid HTTPS,1,Yes
Merit Systems Protection Board,Broken Root,1,Yes
Merit Systems Protection Board,Broken WWW,1,Yes
Merit Systems Protection Board,Defaults to HTTPS,1,Yes
Merit Systems Protection Board,Downgrades HTTPS,1,Yes
Merit Systems Protection Board,HSTS,1,Yes
Merit Systems Protection Board,HSTS All Subdomains,1,Yes
Merit Systems Protection Board,HSTS Preload Ready,1,Yes
Merit Systems Protection Board,HTTPS Bad Chain,1,Yes
Merit Systems Protection Board,HTTPS Bad Hostname,1,Yes
Merit Systems Protection Board,Live,0,Yes
Merit Systems Protection Board,Redirect,1,Yes
Merit Systems Protection Board,Strictly Forces HTTPS,1,Yes
Merit Systems Protection Board,Valid HTTPS,1,Yes
Millennium Challenge Corporation,Broken Root,1,Yes
Millennium Challenge Corporation,Broken WWW,1,Yes
Millennium Challenge Corporation,Defaults to HTTPS,0,Yes
Millennium Challenge Corporation,Downgrades HTTPS,1,Yes
Millennium Challenge Corporation,HSTS,1,Yes
Millennium Challenge Corporation,HSTS All Subdomains,1,Yes
Millennium Challenge Corporation,HSTS Preload Ready,1,Yes
Millennium Challenge Corporation,HTTPS Bad Chain,1,Yes
Millennium Challenge Corporation,HTTPS Bad Hostname,1,Yes
Millennium Challenge Corporation,Live,0,Yes
Millennium Challenge Corporation,Redirect,1,Yes
Millennium Challenge Corporation,Strictly Forces HTTPS,0,Yes
Millennium Challenge Corporation,Valid HTTPS,0,Yes
Morris K. Udall Foundation,Broken Root,2,Yes
Morris K. Udall Foundation,Broken WWW,2,Yes
Morris K. Udall Foundation,Defaults to HTTPS,2,Yes
Morris K. Udall Foundation,Downgrades HTTPS,2,Yes
Morris K. Udall Foundation,HSTS,2,Yes
Morris K. Udall Foundation,HSTS All Subdomains,2,Yes
Morris K. Udall Foundation,HSTS Preload Ready,2,Yes
Morris K. Udall Foundation,HTTPS Bad Chain,2,Yes
Morris K. Udall Foundation,HTTPS Bad Hostname,2,Yes
Morris K. Udall Foundation,Live,0,Yes
Morris K. Udall Foundation,Redirect,1,Yes
Morris K. Udall Foundation,Strictly Forces HTTPS,2,Yes
Morris K. Udall Foundation,Valid HTTPS,0,Yes
Multistate Tax Commission,Broken Root,0,Yes
Multistate Tax Commission,Broken WWW,1,Yes
Multistate Tax Commission,Defaults to HTTPS,1,Yes
Multistate Tax Commission,Downgrades HTTPS,1,Yes
Multistate Tax Commission,HSTS,1,Yes
Multistate Tax Commission,HSTS All Subdomains,1,Yes
Multistate Tax Commission,HSTS Preload Ready,1,Yes
Multistate Tax Commission,HTTPS Bad Chain,1,Yes
Multistate Tax Commission,HTTPS Bad Hostname,1,Yes
Multistate Tax Commission,Live,0,Yes
Multistate Tax Commission,Redirect,1,Yes
Multistate Tax Commission,Strictly Forces HTTPS,1,Yes
Multistate Tax Commission,Valid HTTPS,1,Yes
National Aeronautics and Space Administration,Broken Root,4,Yes
National Aeronautics and Space Administration,Broken WWW,5,Yes
National Aeronautics and Space Administration,Defaults to HTTPS,5,Yes
National Aeronautics and Space Administration,Downgrades HTTPS,5,Yes
National Aeronautics and Space Administration,HSTS,5,Yes
National Aeronautics and Space Administration,HSTS All Subdomains,5,Yes
National Aeronautics and Space Administration,HSTS Preload Ready,5,Yes
National Aeronautics and Space Administration,HTTPS Bad Chain,4,Yes
National Aeronautics and Space Administration,HTTPS Bad Hostname,5,Yes
National Aeronautics and Space Administration,Live,0,Yes
National Aeronautics and Space Administration,Redirect,3,Yes
National Aeronautics and Space Administration,Strictly Forces HTTPS,5,Yes
National Aeronautics and Space Administration,Valid HTTPS,3,Yes
National Archives and Records Administration,Broken Root,10,Yes
National Archives and Records Administration,Broken WWW,10,Yes
National Archives and Records Administration,Defaults to HTTPS,20,Yes
National Archives and Records Administration,Downgrades HTTPS,20,Yes
National Archives and Records Administration,HSTS,20,Yes
National Archives and Records Administration,HSTS All Subdomains,20,Yes
National Archives and Records Administration,HSTS Preload Ready,20,Yes
National Archives and Records Administration,HTTPS Bad Chain,20,Yes
National Archives and Records Administration,HTTPS Bad Hostname,20,Yes
National Archives and Records Administration,Live,10,Yes
National Archives and Records Administration,Redirect,16,Yes
National Archives and Records Administration,Strictly Forces HTTPS,20,Yes
National Archives and Records Administration,Valid HTTPS,20,Yes
National Capital Planning Commission,Broken Root,0,Yes
National Capital Planning Commission,Broken WWW,0,Yes
National Capital Planning Commission,Defaults to HTTPS,1,Yes
National Capital Planning Commission,Downgrades HTTPS,1,Yes
National Capital Planning Commission,HSTS,1,Yes
National Capital Planning Commission,HSTS All Subdomains,1,Yes
National Capital Planning Commission,HSTS Preload Ready,1,Yes
National Capital Planning Commission,HTTPS Bad Chain,1,Yes
National Capital Planning Commission,HTTPS Bad Hostname,1,Yes
National Capital Planning Commission,Live,1,Yes
National Capital Planning Commission,Redirect,1,Yes
National Capital Planning Commission,Strictly Forces HTTPS,1,Yes
National Capital Planning Commission,Valid HTTPS,1,Yes
National Council on Disability,Broken Root,0,Yes
National Council on Disability,Broken WWW,0,Yes
National Council on Disability,Defaults to HTTPS,1,Yes
National Council on Disability,Downgrades HTTPS,1,Yes
National Council on Disability,HSTS,1,Yes
National Council on Disability,HSTS All Subdomains,1,Yes
National Council on Disability,HSTS Preload Ready,1,Yes
National Council on Disability,HTTPS Bad Chain,1,Yes
National Council on Disability,HTTPS Bad Hostname,1,Yes
National Council on Disability,Live,1,Yes
National Council on Disability,Redirect,1,Yes
National Council on Disability,Strictly Forces HTTPS,1,Yes
National Council on Disability,Valid HTTPS,1,Yes
National Credit Union Administration,Broken Root,0,Yes
National Credit Union Administration,Broken WWW,0,Yes
National Credit Union Administration,Defaults to HTTPS,2,Yes
National Credit Union Administration,Downgrades HTTPS,2,Yes
National Credit Union Administration,HSTS,2,Yes
National Credit Union Administration,HSTS All Subdomains,2,Yes
National Credit Union Administration,HSTS Preload Ready,2,Yes
National Credit Union Administration,HTTPS Bad Chain,2,Yes
National Credit Union Administration,HTTPS Bad Hostname,2,Yes
National Credit Union Administration,Live,2,Yes
National Credit Union Administration,Redirect,2,Yes
National Credit Union Administration,Strictly Forces HTTPS,2,Yes
National Credit Union Administration,Valid HTTPS,2,Yes
National Endowment for the Arts,Broken Root,0,Yes
National Endowment for the Arts,Broken WWW,0,Yes
National Endowment for the Arts,Defaults to HTTPS,2,Yes
National Endowment for the Arts,Downgrades HTTPS,2,Yes
National Endowment for the Arts,HSTS,2,Yes
National Endowment for the Arts,HSTS All Subdomains,2,Yes
National Endowment for the Arts,HSTS Preload Ready,2,Yes
National Endowment for the Arts,HTTPS Bad Chain,2,Yes
National Endowment for the Arts,HTTPS Bad Hostname,2,Yes
National Endowment for the Arts,Live,2,Yes
National Endowment for the Arts,Redirect,2,Yes
National Endowment for the Arts,Strictly Forces HTTPS,2,Yes
National Endowment for the Arts,Valid HTTPS,2,Yes
National Endowment for the Humanities,Broken Root,0,Yes
National Endowment for the Humanities,Broken WWW,0,Yes
National Endowment for the Humanities,Defaults to HTTPS,4,Yes
National Endowment for the Humanities,Downgrades HTTPS,4,Yes
National Endowment for the Humanities,HSTS,4,Yes
National Endowment for the Humanities,HSTS All Subdomains,4,Yes
National Endowment for the Humanities,HSTS Preload Ready,4,Yes
National Endowment for the Humanities,HTTPS Bad Chain,4,Yes
National Endowment for the Humanities,HTTPS Bad Hostname,4,Yes
National Endowment for the Humanities,Live,4,Yes
National Endowment for the Humanities,Redirect,4,Yes
National Endowment for the Humanities,Strictly Forces HTTPS,4,Yes
National Endowment for the Humanities,Valid HTTPS,4,Yes
National Gallery of Art,Broken Root,0,Yes
