Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
brac.gov,brac.gov,http://brac.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
broadbandmap.gov,broadbandmap.gov,https://www.broadbandmap.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
brc.gov,brc.gov,http://brc.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
bsee.gov,bsee.gov,https://www.bsee.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
businessdefense.gov,businessdefense.gov,http://www.businessdefense.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
buyaccessible.gov,buyaccessible.gov,http://buyaccessible.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,True,True,True,False,False
cbca.gov,cbca.gov,http://cbca.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
capnhq.gov,capnhq.gov,https://www.capnhq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
bts.gov,bts.gov,https://www.bts.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31622400,31622400,False,False,False,False,False,True,True,True
buyusa.gov,buyusa.gov,http://buyusa.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
casl.gov,casl.gov,http://www.casl.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
ccac.gov,ccac.gov,https://www.ccac.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
cancer.gov,cancer.gov,https://www.cancer.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True
cbp.gov,cbp.gov,https://www.cbp.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536001,31536001,False,False,False,False,False,True,True,True
cdc.gov,cdc.gov,https://www.cdc.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True
cdfifund.gov,cdfifund.gov,https://www.cdfifund.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True
cendi.gov,cendi.gov,https://cendi.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
cep.gov,cep.gov,https://cep.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
census.gov,census.gov,http://census.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,False,True
cfa.gov,cfa.gov,https://www.cfa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
chcoc.gov,chcoc.gov,https://chcoc.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubdomains,31536000,True,False,False,False,False,True,True,True
cftc.gov,cftc.gov,http://www.cftc.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False
cfda.gov,cfda.gov,https://cfda.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,False,False,True,True,True
cfo.gov,cfo.gov,https://cfo.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
childreninadversity.gov,childreninadversity.gov,https://www.childreninadversity.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
challenge.gov,challenge.gov,https://www.challenge.gov,True,False,,True,True,False,True,False,False,False,False,,,True,False,False,False,False,True,True,False
