Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
abandonedmines.gov,abandonedmines.gov,http://abandonedmines.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,False
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False,False,False
abilityone.gov,abilityone.gov,http://abilityone.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
911commission.gov,911commission.gov,https://911commission.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False,False,False
911.gov,911.gov,https://www.911.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
access-board.gov,access-board.gov,https://www.access-board.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
abmc.gov,abmc.gov,https://abmc.gov,True,False,,False,True,False,True,False,False,False,max-age=1000,1000,False,False,False,False,False
achp.gov,achp.gov,http://achp.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
acl.gov,acl.gov,https://acl.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
acquisition.gov,acquisition.gov,https://www.acquisition.gov,True,False,,False,True,False,True,True,False,False,"['max-age=31536000; includeSubDomains;', 'max-age=31536000;includeSubDomains;preload']",,False,False,False,False,False
acus.gov,acus.gov,https://www.acus.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
acwi.gov,acwi.gov,https://acwi.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,False
ada.gov,ada.gov,https://www.ada.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
admongo.gov,admongo.gov,https://www.admongo.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,True,False
adf.gov,adf.gov,http://adf.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
aff.gov,aff.gov,http://www.aff.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,True,False
adlnet.gov,adlnet.gov,http://www.adlnet.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
