Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS All Subdomains,HSTS Preload Ready,Broken Root,Broken WWW
bendoregon.gov,http://bendoregon.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bensalempa.gov,http://www.bensalempa.gov,True,False,,False,False,True,False,True,False,False,,False,False,False,False
bensonaz.gov,http://www.bensonaz.gov,True,True,,False,False,False,False,True,False,False,,False,False,True,False
bentonchartertownship-mi.gov,http://bentonchartertownship-mi.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
bereaky.gov,http://bereaky.gov,True,False,,False,False,True,False,True,False,False,,False,False,False,False
berlinmd.gov,http://berlinmd.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
berlinnh.gov,http://berlinnh.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bernco.gov,http://www.bernco.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
berwyn-il.gov,http://berwyn-il.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bethanybeach-de.gov,http://bethanybeach-de.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bethel-ct.gov,http://bethel-ct.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bethel-oh.gov,http://bethel-oh.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
beverlyhills-ca.gov,http://beverlyhills-ca.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
beverlyhillsca.gov,http://beverlyhillsca.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
beverlyma.gov,http://www.beverlyma.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
biggs-ca.gov,http://biggs-ca.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bigsandytx.gov,http://bigsandytx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
binghamton-ny.gov,http://www.binghamton-ny.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
birminghamal.gov,http://www.birminghamal.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bisbeeaz.gov,http://bisbeeaz.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
biscayneparkfl.gov,http://www.biscayneparkfl.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bismarcknd.gov,http://bismarcknd.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bixbyok.gov,http://bixbyok.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
blairsville-ga.gov,http://blairsville-ga.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
blanding-ut.gov,http://www.blanding-ut.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
blendontownship-mi.gov,http://blendontownship-mi.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bloomingdale-ga.gov,http://www.bloomingdale-ga.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bloomington-mn.gov,http://www.bloomington-mn.gov,True,True,,False,False,False,False,True,False,False,,False,False,False,False
blueash-oh.gov,http://blueash-oh.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bocaraton-fl.gov,http://bocaraton-fl.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
boerne-tx.gov,http://boerne-tx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
boiseidaho.gov,http://www.boiseidaho.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bolton-ma.gov,http://bolton-ma.gov,False,False,,False,False,False,False,False,False,False,,False,False,True,True
bonneytexas.gov,http://bonneytexas.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
borgertx.gov,http://borgertx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bosquefarmsnm.gov,http://bosquefarmsnm.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
boston.gov,http://www.boston.gov,True,True,http://www.cityofboston.gov/,False,False,False,False,True,False,False,,False,False,False,False
bouldercolorado.gov,https://bouldercolorado.gov,True,False,,True,True,False,True,False,False,True,max-age=3600,False,False,False,False
bourbon-in.gov,http://bourbon-in.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bowersde.gov,http://www.bowersde.gov,True,True,http://bowersbeach.delaware.gov/,False,False,False,False,True,False,False,,False,False,False,False
bowlinggreen-mo.gov,http://bowlinggreen-mo.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bowlinggreenky.gov,http://www.bowlinggreenky.gov,True,False,,False,False,False,False,True,False,False,,False,False,True,False
bowmar.gov,http://bowmar.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
boxborough-ma.gov,http://www.boxborough-ma.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
boyceva.gov,http://www.boyceva.gov,True,False,,False,False,True,False,True,False,False,,False,False,False,False
boylston-ma.gov,http://boylston-ma.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bozeman-mt.gov,http://www.bozeman-mt.gov,True,True,,False,False,False,False,True,False,False,,False,False,False,False
bradleybeachnj.gov,http://bradleybeachnj.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
branford-ct.gov,http://branford-ct.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
bransonmo.gov,http://bransonmo.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
braswellga.gov,http://braswellga.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brawley-ca.gov,http://www.brawley-ca.gov,True,False,,False,False,False,False,False,False,False,,False,False,True,False
breckenridgetx.gov,http://breckenridgetx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bremenga.gov,http://bremenga.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bremertonwa.gov,http://bremertonwa.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brentwood-tn.gov,http://brentwood-tn.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brentwoodca.gov,http://brentwoodca.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brentwoodmd.gov,http://brentwoodmd.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brentwoodnh.gov,http://brentwoodnh.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brewster-ma.gov,http://brewster-ma.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brewstervillage-ny.gov,http://brewstervillage-ny.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bricktownship-nj.gov,http://bricktownship-nj.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bridgeportct.gov,http://bridgeportct.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
bridgeview-il.gov,http://www.bridgeview-il.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
brimfieldohio.gov,http://brimfieldohio.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
bristolct.gov,http://www.bristolct.gov,True,False,,False,False,False,False,True,False,False,,False,False,True,False
brla.gov,http://brla.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,True
broadview-il.gov,http://broadview-il.gov,True,False,,False,False,False,False,True,False,False,max-age=63072000; includeSubDomains,False,False,False,False
brokenarrowok.gov,http://www.brokenarrowok.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
brookfield-wi.gov,http://brookfield-wi.gov,False,False,,False,False,False,False,False,False,False,,False,False,True,True
