Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
isotope.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
isotopes.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
itis.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
its.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
jccs.gov,F,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
jct.gov,A,SHA1withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
jem.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
jobcorps.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
joiningforces.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
joiningforces.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
lacoast.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
lanl.gov,B,SHA256withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
latinofarmerclaims.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
lbl.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,True,False
lca.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
lcacommons.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
learnperformance.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,True,False
learnperformance.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
learnperformance.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,True,False
lis.gov,F,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
listo.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
llis.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
llis.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
llnl.gov,F,SHA256withRSA,RSA,2048,4,False,False,False,False,True,False,False,False
llnl.gov,F,SHA256withRSA,RSA,2048,4,False,False,False,False,True,False,False,False
lmrcouncil.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
lmrcouncil.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
loc.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
macpac.gov,A-,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
mcc.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
mcc.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
mcc.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
mcc.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
medalofvalor.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
medalofvalor.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
medicalcountermeasures.gov,C,SHA256withRSA,RSA,2048,1,True,False,False,True,True,False,False,False
medicalreservecorps.gov,A,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
medicare.gov,A-,SHA256withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
mimedicare.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
moneyfactorystore.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
mrgo.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
mymedicare.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
myra.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
nano.gov,A-,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
nasa.gov,B,SHA1withRSA,RSA,2048,4,False,False,False,False,True,False,False,False
nationalchildrensstudy.gov,C,SHA1withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
nationalchildrensstudy.gov,C,SHA1withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
nationalgangcenter.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
nationalresourcedirectory.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
nationalresourcedirectory.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
nationalserviceresources.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
nbc.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
ncifcrf.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,True,False,False,False
ncirc.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
ncjrs.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
ncpc.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
ncpw.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
ncpw.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ncrc.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,True,False
nemi.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
nersc.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
nersc.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
newmoney.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
newmoney.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
nfpors.gov,C,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
nga.gov,B,SHA1withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
nic.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
niem.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
nifc.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
nihseniorhealth.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
nist.gov,A,SHA256withRSA,RSA,2048,4,False,N/A,False,False,True,False,False,False
nist.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
nist.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
nist.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
nitrd.gov,A-,SHA256withRSA,RSA,2048,0,True,False,False,False,True,False,False,False
nlrb.gov,C,SHA256withRSA,RSA,2048,0,True,N/A,False,False,False,False,False,False
nmb.gov,T,SHA256withRSA,RSA,2048,2,False,True,True,True,True,True,False,True
nmcourt.fed.us,C,SHA256withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
nnlm.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
nolaenvironmental.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
notalone.gov,C,SHA256withRSA,RSA,2048,1,False,False,False,True,True,False,False,False
notalone.gov,B,SHA256withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
notalone.gov,B,SHA256withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
nps.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
nrd.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
nrel.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
nsa.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
nsf.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
ntdprogram.gov,A-,SHA256withRSA,RSA,4096,1,False,True,False,False,True,False,True,False
ntis.gov,F,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
nwbc.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
oea.gov,F,SHA1withRSA,RSA,2048,1,False,False,True,True,True,False,False,False
ofda.gov,F,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
omb.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
omb.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
omblog.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ondcp.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ondcp.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
onguardonline.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
onguardonline.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
opensource.gov,A-,SHA1withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
opic.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
opm.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
opm.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
orau.gov,C,SHA256withRSA,RSA,2048,2,True,N/A,True,False,False,False,False,False
ornl.gov,A-,SHA1withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
osac.gov,C,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
osc.gov,A,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
osha.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
osti.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
ostp.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ostp.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ovcttac.gov,B,SHA256withRSA,RSA,2048,2,True,False,True,False,True,False,False,False
pacer.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
partner4solutions.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
partner4solutions.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
partner4solutions.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
pay.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
pbgc.gov,C,SHA1withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
pbgc.gov,C,SHA1withRSA,RSA,2048,0,True,N/A,False,False,False,False,False,False
pclob.gov,B,SHA256withRSA,RSA,2048,2,False,False,True,False,True,False,True,False
peacecorps.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
peacecorps.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
peacecorps.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
peacecorps.gov,C,SHA1withRSA,RSA,2048,1,False,False,False,True,False,False,False,False
pic.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
pmf.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
pmf.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
pnl.gov,A-,SHA256withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
pnnl.gov,A,SHA256withRSA,RSA,2048,2,False,False,False,False,True,False,False,False
ppirs.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,False,False,False,False,False
prc.gov,B,SHA1withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
presidentialserviceawards.gov,B,SHA256withRSA,RSA,2048,2,True,False,True,False,True,False,False,False
protecciondelconsumidor.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
protecciondelconsumidor.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
protectyourmove.gov,C,SHA256withRSA,RSA,2048,0,True,N/A,True,False,False,False,False,False
psa.gov,F,SHA256withRSA,RSA,2048,0,True,False,True,True,False,False,False,False
psc.gov,T,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
psob.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
psob.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
pubmed.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
qatesttwai.gov,T,SHA1withRSA,RSA,1024,0,False,True,False,True,True,False,False,False
reachhigher.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
reachhigher.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
ready.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
readybusiness.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
realestatesales.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
realpropertyprofile.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
recreation.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
recreation.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
research.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
research.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
restorethegulf.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
rocis.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
safecom.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
saferproducts.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
safetyact.gov,T,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
salmonrecovery.gov,C,SHA1withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
sam.gov,C,SHA1withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
science.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
sciencebase.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
sec.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
sec.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
section508.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
senate.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
senate.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
sentinel.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
sftool.gov,B,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
smartgrid.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
smartgrid.gov,B,SHA1withRSA,RSA,2048,4,False,True,True,False,True,False,False,False
socialsecurity.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
socialsecurity.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
sss.gov,C,SHA256withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
standards.gov,A-,SHA1withRSA,RSA,2048,0,True,False,False,False,True,False,False,False
stennis.gov,C,SHA256withRSA,RSA,4096,1,False,True,True,True,True,False,False,False
stopalcoholabuse.gov,A,SHA256withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
strategicsourcing.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
strongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
strongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
studentaid.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
studentloans.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
studentloans.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,True,False,False,False
supportthevoter.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
supportthevoter.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
supportthevoter.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
sustainablecommunities.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
symbols.gov,B,SHA256withRSA,RSA,2048,2,False,True,True,False,True,False,False,False
taxreform.gov,F,SHA1withRSA,RSA,2048,1,False,False,True,True,True,False,False,False
transportation.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
treaslockbox.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
treasury.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
treasurydirect.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
truman.gov,T,SHA1withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
tsa.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
tsa.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
tsp.gov,B,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
udall.gov,C,SHA1withRSA,RSA,2048,0,True,N/A,False,False,False,False,False,False
unlocktalent.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
unlocktalent.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
us-cert.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
us-cert.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
usa.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
usaid.gov,B,SHA1withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usaid.gov,F,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
usaidallnet.gov,F,SHA1withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
usajobs.gov,B,SHA256withRSA,RSA,2048,2,False,True,True,False,True,False,False,False
usajobs.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usalearning.gov,C,SHA1withRSA,RSA,2048,1,False,True,False,True,False,False,False,False
usap.gov,C,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
usaspending.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usaspending.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usastaffing.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usastaffing.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
usbg.gov,A,SHA256withRSA,RSA,4096,2,False,True,False,False,True,False,False,False
usbr.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
uscis.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usgs.gov,A-,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
usmint.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
usps.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
uspsoig.gov,B,SHA1withRSA,RSA,2048,2,True,False,False,False,True,False,False,False
ustaxcourt.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,False,True,False,False,False
ustda.gov,F,SHA256withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
va.gov,T,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
vallescaldera.gov,F,SHA256withRSA,RSA,2048,0,True,N/A,True,False,False,False,False,False
vef.gov,F,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
visitthecapitol.gov,C,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
volunteer.gov,C,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
volunteeringinamerica.gov,B,SHA256withRSA,RSA,4096,2,True,False,False,False,True,False,False,False
wapa.gov,F,SHA1withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
wh.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
wh.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
whitehouse.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
whitehouse.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
whitehousedrugpolicy.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
whitehousedrugpolicy.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
wlci.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
womenfarmerclaims.gov,C,SHA256withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
womenshealth.gov,F,SHA256withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
workplace.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
wrp.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
youthgo.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,True,False,True,False
