Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
citizencorps.gov,A-,SHA1withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
citizencorps.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
climate.gov,A,SHA256withRSA,RSA,4096,4,False,True,False,False,True,False,True,False
climate.gov,A,SHA256withRSA,RSA,4096,4,False,True,False,False,True,False,True,False
clinicaltrials.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
clinicaltrials.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
cms.gov,A-,SHA256withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
cnss.gov,T,SHA1withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
commerce.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
complaintreferralexpress.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,True,False,False,False,False
computersforlearning.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
congress.gov,C,SHA256withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
connect.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
connect.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
connect.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
consumer.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
consumer.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
consumersentinel.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
consumidor.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
consumidor.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
