Domain,Base Domain,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,OCSP Stapling,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,Not Before,Not After,Highest Served Issuer,Errors
bpa.gov,bpa.gov,False,True,True,True,False,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-28 20:32:12+00:00,2018-07-29 06:18:02+00:00,Entrust Root Certification Authority - G2,
broadbandmap.gov,broadbandmap.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-30 22:53:36+00:00,2016-05-02 04:55:28+00:00,Entrust Root Certification Authority,
bsee.gov,bsee.gov,False,False,False,False,False,,,,,,,,,,,,,,_nassl.OpenSSLError - error:14077458:SSL routines:SSL23_GET_SERVER_HELLO:tlsv1 unrecognized name
budget.gov,budget.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
businessusa.gov,businessusa.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
buyaccessible.gov,buyaccessible.gov,True,True,True,False,False,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-10-30 00:00:00+00:00,2015-10-31 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
cao.gov,cao.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-21 17:52:09+00:00,2016-09-26 21:47:20+00:00,Entrust Root Certification Authority,
capitol.gov,capitol.gov,False,True,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-18 21:16:31+00:00,2016-05-19 00:13:27+00:00,Entrust Root Certification Authority,
capnhq.gov,capnhq.gov,True,True,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-28 00:00:00+00:00,2017-02-19 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
cbo.gov,cbo.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-03 17:07:36+00:00,2016-03-27 18:36:55+00:00,GeoTrust Primary Certification Authority - G3,
cbp.gov,cbp.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
cdfifund.gov,cdfifund.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
census.gov,census.gov,False,True,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-05-04 00:00:00+00:00,2016-05-30 23:59:59+00:00,Class 3 Public Primary Certification Authority,
cfa.gov,cfa.gov,False,False,False,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-10-23 00:00:00+00:00,2017-10-27 12:00:00+00:00,DigiCert Global Root CA,
cfda.gov,cfda.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:31:02+00:00,2016-04-29 02:00:49+00:00,Entrust.net Secure Server Certification Authority,
cfo.gov,cfo.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-21 17:52:09+00:00,2016-09-26 21:47:20+00:00,Entrust Root Certification Authority,
cftc.gov,cftc.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,False,2015-09-21 13:03:53+00:00,2016-07-20 01:01:01+00:00,Entrust Root Certification Authority,
challenge.gov,challenge.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
chcoc.gov,chcoc.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-06-17 15:23:16+00:00,2018-09-17 04:49:37+00:00,Entrust Root Certification Authority,
childwelfare.gov,childwelfare.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-27 00:00:00+00:00,2017-02-17 12:00:00+00:00,DigiCert Global Root CA,
chinacommission.gov,chinacommission.gov,False,True,True,False,False,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-09 00:00:00+00:00,2018-07-13 12:00:00+00:00,DigiCert Global Root CA,
christophercolumbusfoundation.gov,christophercolumbusfoundation.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-21 00:00:00+00:00,2017-03-29 23:59:59+00:00,AddTrust External CA Root,
cia.gov,cia.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-04-01 00:00:00+00:00,2016-04-11 23:59:59+00:00,Class 3 Public Primary Certification Authority,
cio.gov,cio.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 21:41:10+00:00,2016-09-27 06:18:29+00:00,Entrust Root Certification Authority,
citizencorps.gov,citizencorps.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-12-23 23:59:59+00:00,GeoTrust Global CA,
climate.gov,climate.gov,False,False,True,True,True,True,False,4096,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,False,2014-08-29 00:00:00+00:00,2016-09-02 12:00:00+00:00,DigiCert High Assurance EV Root CA,
clinicaltrials.gov,clinicaltrials.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-03-06 00:00:00+00:00,2017-05-09 12:00:00+00:00,DigiCert Global Root CA,
cms.gov,cms.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-10 00:00:00+00:00,2016-07-06 23:59:59+00:00,GeoTrust Global CA,
cnss.gov,cnss.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-05-09 12:46:23+00:00,2017-05-09 12:46:23+00:00,DoD Root CA 2,
commerce.gov,commerce.gov,False,False,True,True,True,True,False,2048,False,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-03-10 00:00:00+00:00,2016-05-26 12:00:00+00:00,DigiCert Global Root CA,
complaintreferralexpress.gov,complaintreferralexpress.gov,True,True,True,False,False,True,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-01 00:00:00+00:00,2016-04-01 23:59:59+00:00,VeriSign Class 3 International Server CA - G3,
computersforlearning.gov,computersforlearning.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-16 00:00:00+00:00,2016-04-02 23:59:59+00:00,Class 3 Public Primary Certification Authority,
congress.gov,congress.gov,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-05-21 15:31:50+00:00,2018-05-21 23:39:15+00:00,Entrust Root Certification Authority,
connect.gov,connect.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
consumer.gov,consumer.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
consumersentinel.gov,consumersentinel.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-12 00:00:00+00:00,2018-06-20 12:00:00+00:00,DigiCert Global Root CA,
consumidor.gov,consumidor.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-17 00:00:00+00:00,2016-11-15 23:59:59+00:00,GeoTrust Global CA,
contractdirectory.gov,contractdirectory.gov,False,True,True,False,True,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:43:26+00:00,2016-04-29 10:19:40+00:00,Entrust.net Secure Server Certification Authority,
cpars.gov,cpars.gov,False,False,True,True,False,True,False,1024,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-06-18 18:16:09+00:00,2016-06-19 07:34:31+00:00,Entrust Certification Authority - L1E,
cpnireporting.gov,cpnireporting.gov,False,True,True,False,False,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2013-05-10 18:07:53+00:00,2016-05-10 18:37:53+00:00,US Treasury Root CA,
cpsc.gov,cpsc.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-11-22 23:59:59+00:00,GeoTrust Global CA,
cuidadodesalud.gov,cuidadodesalud.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-10 00:00:00+00:00,2016-12-09 23:59:59+00:00,GeoTrust Global CA,
data.gov,data.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
denali.gov,denali.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-09 00:00:00+00:00,2017-03-12 23:59:59+00:00,USERTrust RSA Certification Authority,
dhs.gov,dhs.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
digitalgov.gov,digitalgov.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
directoasucuenta.gov,directoasucuenta.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-21 18:07:40+00:00,2018-07-22 04:06:42+00:00,Entrust Root Certification Authority,
disability.gov,disability.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-11-26 00:00:00+00:00,2016-12-14 12:00:00+00:00,DigiCert Global Root CA,
disasterassistance.gov,disasterassistance.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
docline.gov,docline.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-09 14:04:00+00:00,2017-09-09 23:29:33+00:00,Entrust Root Certification Authority,
doi.gov,doi.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-15 00:00:00+00:00,2018-08-22 12:00:00+00:00,DigiCert High Assurance EV Root CA,
doioig.gov,doioig.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-07-02 00:00:00+00:00,2017-02-07 23:59:59+00:00,AddTrust External CA Root,
dol.gov,dol.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-01-15 00:00:00+00:00,2017-03-07 12:00:00+00:00,DigiCert Global Root CA,
donotcall.gov,donotcall.gov,False,False,True,True,True,True,True,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2012-10-18 00:00:00+00:00,2016-01-10 12:00:00+00:00,DigiCert High Assurance EV Root CA,
dot.gov,dot.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 09:47:29+00:00,2016-06-09 17:25:48+00:00,GeoTrust Global CA,
dotgov.gov,dotgov.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-01-09 00:00:00+00:00,2017-01-07 23:59:59+00:00,Class 3 Public Primary Certification Authority,
dotideahub.gov,dotideahub.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-08-25 20:13:22+00:00,2016-08-25 20:13:20+00:00,GTE CyberTrust Global Root,
drought.gov,drought.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-08-26 00:00:00+00:00,2017-11-03 12:00:00+00:00,DigiCert Global Root CA,
drugabuse.gov,drugabuse.gov,False,False,True,True,True,True,False,4096,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-08 00:00:00+00:00,2018-07-12 12:00:00+00:00,DigiCert Global Root CA,
dsac.gov,dsac.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-01-13 23:22:14+00:00,2015-10-17 23:08:05+00:00,GlobalSign Root CA,
eac.gov,eac.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-06-19 16:52:07+00:00,2016-06-19 16:52:05+00:00,GTE CyberTrust Global Root,
earmarks.gov,earmarks.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-05 20:14:33+00:00,2016-07-02 11:04:51+00:00,Entrust Root Certification Authority,
economicinclusion.gov,economicinclusion.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-04 00:00:00+00:00,2016-09-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
ecpic.gov,ecpic.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
ecr.gov,ecr.gov,False,False,True,False,False,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-10-02 00:00:00+00:00,2016-06-14 23:59:59+00:00,GeoTrust Global CA,
ed.gov,ed.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-01-18 00:00:00+00:00,2016-01-19 23:59:59+00:00,Class 3 Public Primary Certification Authority,
edpubs.gov,edpubs.gov,True,True,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-11-10 20:07:36+00:00,2015-11-15 02:39:21+00:00,Entrust.net Certification Authority (2048),
eftps.gov,eftps.gov,False,False,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-11-05 00:00:00+00:00,2016-01-19 23:59:59+00:00,Class 3 Public Primary Certification Authority,
egov.gov,egov.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
eldercare.gov,eldercare.gov,False,True,True,True,True,True,False,1024,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-12-27 00:54:44+00:00,2015-12-24 04:01:18+00:00,Entrust Root Certification Authority,
employeeexpress.gov,employeeexpress.gov,False,False,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-10-22 12:00:01+00:00,2016-06-29 12:00:00+00:00,DigiCert High Assurance EV Root CA,
empowhr.gov,empowhr.gov,False,False,True,False,True,False,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2012-03-27 18:42:15+00:00,2016-05-28 00:31:17+00:00,Entrust Certification Authority - L1C,
energycodes.gov,energycodes.gov,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-04-10 20:25:40+00:00,2016-06-11 07:30:28+00:00,Entrust.net Certification Authority (2048),
energystar.gov,energystar.gov,False,False,True,False,False,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2013-10-30 18:30:03+00:00,2018-05-06 12:39:26+00:00,Go Daddy Root Certificate Authority - G2,
eop.gov,eop.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
esc.gov,esc.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-14 00:00:00+00:00,2016-09-13 23:59:59+00:00,GeoTrust Global CA,
esrs.gov,esrs.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-08-11 14:00:23+00:00,2016-08-19 02:04:50+00:00,Entrust Root Certification Authority,
eta-find.gov,eta-find.gov,False,False,True,True,True,False,False,,False,False,,,,,,,,,utils.SSLyzeSSLConnection.SSLHandshakeRejected - TLS / Alert handshake failure
ethics.gov,ethics.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-09 02:58:16+00:00,2016-04-16 17:25:42+00:00,GeoTrust Global CA,
everykidinapark.gov,everykidinapark.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-28 00:00:00+00:00,2016-08-27 23:59:59+00:00,AddTrust External CA Root,
faa.gov,faa.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-08-17 19:18:01+00:00,2016-08-17 19:17:56+00:00,GTE CyberTrust Global Root,
faasafety.gov,faasafety.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-14 00:00:00+00:00,2016-09-13 23:59:59+00:00,GeoTrust Global CA,
faca.gov,faca.gov,False,False,True,False,True,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-23 00:00:00+00:00,2017-09-01 23:59:59+00:00,GeoTrust Global CA,
fafsa.gov,fafsa.gov,False,False,True,True,True,False,False,,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-10-07 00:00:00+00:00,2016-10-07 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fai.gov,fai.gov,False,True,True,True,True,True,False,2048,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-07-28 20:04:08+00:00,2016-07-29 09:15:09+00:00,Entrust Certification Authority - L1C,
fan.gov,fan.gov,False,False,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-12-10 00:00:00+00:00,2015-12-10 23:59:59+00:00,Class 3 Public Primary Certification Authority,
fapiis.gov,fapiis.gov,False,False,True,True,False,True,False,1024,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-08-11 14:22:05+00:00,2016-08-19 06:16:33+00:00,Entrust Certification Authority - L1E,
farmerclaims.gov,farmerclaims.gov,False,True,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-06 14:16:57+00:00,2017-02-21 07:49:54+00:00,Entrust.net Certification Authority (2048),
fatherhood.gov,fatherhood.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-27 00:00:00+00:00,2018-01-31 12:00:00+00:00,DigiCert Global Root CA,
fbi.gov,fbi.gov,False,False,True,True,True,True,False,,False,False,True,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-10-20 19:45:10+00:00,2015-10-17 20:08:54+00:00,GlobalSign Root CA,
fbiic.gov,fbiic.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-07 00:00:00+00:00,2016-02-08 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fbijobs.gov,fbijobs.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-10-11 00:02:08+00:00,2017-10-11 00:02:08+00:00,Go Daddy Root Certificate Authority - G2,
fbo.gov,fbo.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:27:12+00:00,2016-04-29 10:58:13+00:00,Entrust.net Secure Server Certification Authority,
fca.gov,fca.gov,False,True,True,True,True,True,False,,True,False,,,,,,,,,_nassl.OpenSSLError - error:27069065:OCSP routines:OCSP_basic_verify:certificate verify error
fcc.gov,fcc.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-25 00:00:00+00:00,2016-12-24 23:59:59+00:00,GeoTrust Global CA,
fcg.gov,fcg.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-07-16 00:00:00+00:00,2018-07-20 12:00:00+00:00,DigiCert SHA2 Secure Server CA,
fcsic.gov,fcsic.gov,False,True,True,True,True,True,False,,True,False,,,,,,,,,_nassl.OpenSSLError - error:27069065:OCSP routines:OCSP_basic_verify:certificate verify error
fdic.gov,fdic.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-06-03 00:00:00+00:00,2016-07-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fdicig.gov,fdicig.gov,True,True,True,False,False,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-10 00:00:00+00:00,2017-08-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fdms.gov,fdms.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-05-14 00:00:00+00:00,2016-05-17 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
feb.gov,feb.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-28 00:00:00+00:00,2016-11-26 23:59:59+00:00,GeoTrust Global CA,
fedbizopps.gov,fedbizopps.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-24 16:32:40+00:00,2016-04-29 00:21:21+00:00,Entrust.net Secure Server Certification Authority,
fedcenter.gov,fedcenter.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2014-04-23 00:00:00+00:00,2016-06-08 12:00:00+00:00,DigiCert High Assurance EV Root CA,
federaljobs.gov,federaljobs.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-07 00:00:00+00:00,2016-04-09 23:59:59+00:00,GeoTrust Global CA,
federalregister.gov,federalregister.gov,False,False,True,True,True,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-09-29 00:00:00+00:00,2015-12-01 12:00:00+00:00,DigiCert High Assurance EV Root CA,
federalreserve.gov,federalreserve.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-03-10 00:00:00+00:00,2017-03-10 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
federalreserveconsumerhelp.gov,federalreserveconsumerhelp.gov,False,True,True,False,False,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-27 00:00:00+00:00,2016-08-27 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fedidcard.gov,fedidcard.gov,False,False,True,False,False,True,False,,False,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2015-03-12 00:00:00+00:00,2016-03-20 23:59:59+00:00,Class 3 Public Primary Certification Authority,
fedinvest.gov,fedinvest.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-01 12:00:52+00:00,2017-09-02 05:45:53+00:00,Entrust Root Certification Authority,
fedjobs.gov,fedjobs.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-07 00:00:00+00:00,2016-04-09 23:59:59+00:00,GeoTrust Global CA,
fedpartnership.gov,fedpartnership.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-01-12 19:53:15+00:00,2018-01-13 11:11:08+00:00,Entrust Root Certification Authority,
fedramp.gov,fedramp.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
fedreg.gov,fedreg.gov,False,True,True,False,False,False,False,,True,False,False,rsaEncryption,4096,sha256WithRSAEncryption,False,2015-02-03 00:00:00+00:00,2016-02-03 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
feedthefuture.gov,feedthefuture.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-01-04 20:00:13+00:00,2019-01-06 10:01:18+00:00,Equifax Secure Certificate Authority,
fegli.gov,fegli.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-28 00:00:00+00:00,2016-11-26 23:59:59+00:00,GeoTrust Global CA,
fema.gov,fema.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-24 00:00:00+00:00,2016-09-23 23:59:59+00:00,GeoTrust Global CA,
femalefarmerclaims.gov,femalefarmerclaims.gov,False,True,True,False,False,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2015-02-06 14:16:57+00:00,2017-02-21 07:49:54+00:00,Entrust.net Certification Authority (2048),
ferc.gov,ferc.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,4096,sha256WithRSAEncryption,True,2015-02-06 00:00:00+00:00,2016-02-09 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
ffiec.gov,ffiec.gov,False,False,True,True,True,True,False,1024,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-10-30 00:00:00+00:00,2016-10-30 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
fgdc.gov,fgdc.gov,False,False,True,True,True,False,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-13 00:00:00+00:00,2016-04-19 12:00:00+00:00,DigiCert High Assurance EV Root CA,
fhfa.gov,fhfa.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-03-19 00:00:00+00:00,2017-03-23 12:00:00+00:00,DigiCert High Assurance EV Root CA,
fido.gov,fido.gov,False,False,True,False,True,True,False,,True,False,True,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-23 00:00:00+00:00,2017-09-01 23:59:59+00:00,GeoTrust Global CA,
fincen.gov,fincen.gov,False,False,True,False,False,True,False,2048,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2014-11-17 12:34:17+00:00,2016-11-14 15:38:27+00:00,Entrust Certification Authority - L1K,
