Domain,Base Domain,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,OCSP Stapling,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,Not Before,Not After,Highest Served Issuer,Errors
supportthevoter.gov,supportthevoter.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
sustainablecommunities.gov,sustainablecommunities.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 09:47:29+00:00,2016-06-09 17:25:48+00:00,GeoTrust Global CA,
symbols.gov,symbols.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-11-03 00:00:00+00:00,2015-11-25 23:59:59+00:00,Thawte Premium Server CA,
taxreform.gov,taxreform.gov,False,True,True,True,True,True,False,1024,True,False,False,rsaEncryption,2048,sha1WithRSAEncryption,True,2013-03-28 00:00:00+00:00,2017-03-28 23:59:59+00:00,VeriSign Class 3 Public Primary Certification Authority - G5,
telework.gov,telework.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-08-28 00:00:00+00:00,2016-08-27 23:59:59+00:00,GeoTrust Global CA,
transportation.gov,transportation.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-04-08 09:47:29+00:00,2016-06-09 17:25:48+00:00,GeoTrust Global CA,
treaslockbox.gov,treaslockbox.gov,False,True,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,True,2014-12-01 18:39:09+00:00,2017-12-02 07:04:24+00:00,Entrust.net Secure Server Certification Authority,
treasury.gov,treasury.gov,False,False,True,True,True,True,False,,True,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-11 00:00:00+00:00,2016-09-10 23:59:59+00:00,GeoTrust Global CA,
treasurydirect.gov,treasurydirect.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-01 12:00:52+00:00,2017-09-02 05:45:53+00:00,Entrust Root Certification Authority,
treasuryhunt.gov,treasuryhunt.gov,False,False,True,True,True,True,False,,False,False,False,rsaEncryption,2048,sha256WithRSAEncryption,False,2015-09-01 12:00:52+00:00,2017-09-02 05:45:53+00:00,Entrust Root Certification Authority,
