Domain,Branch,Agency,Redirect,Participates in DAP?
404.gov,executive,Securities and Exchange Commission,No,No
9-11commission.gov,executive,National Archives and Records Administration,No,No
911.gov,executive,Department of Transportation,No,Yes
911commission.gov,executive,National Archives and Records Administration,No,No
abandonedmines.gov,executive,Department of the Interior,No,No
abilityone.gov,executive,Comm for People Who Are Blind/Severly Disabled,No,No
abmc.gov,executive,American Battle Monuments Commission,No,Yes
access-board.gov,executive,U. S. Access Board,No,Yes
achp.gov,executive,Advisory Council on Historic Preservation,No,No
acl.gov,executive,Department of Health And Human Services,No,No
acquisition.gov,executive,General Services Administration,No,Yes
acus.gov,executive,Administrative Conference of the United States,No,No
acwi.gov,executive,Department of the Interior,No,Yes
ada.gov,executive,Department of Justice,No,Yes
adf.gov,executive,African Development Foundation,No,No
adlnet.gov,executive,Department of Defense,No,Yes
admongo.gov,executive,Federal Trade Commission,No,No
adr.gov,executive,Department of Justice,No,Yes
advantage.gov,executive,General Services Administration,No,No
afadvantage.gov,executive,General Services Administration,No,Yes
aff.gov,executive,Department of Agriculture,No,No
afrh.gov,executive,Armed Forces Retirement Home,No,No
agingstats.gov,executive,Department of Health And Human Services,No,No
ahrq.gov,executive,Department of Health And Human Services,No,Yes
aids.gov,executive,Department of Health And Human Services,No,Yes
airnow.gov,executive,Environmental Protection Agency,No,Yes
alaskacenters.gov,executive,Department of the Interior,No,Yes
alertaenlinea.gov,executive,Federal Trade Commission,No,Yes
altusandc.gov,executive,Department of Defense,No,No
alzheimers.gov,executive,Department of Health And Human Services,No,No
ama.gov,executive,Department of the Treasury,No,No
amberalert.gov,executive,Department of Justice,No,Yes
americanlatinomuseum.gov,executive,Department of the Interior,No,No
americathebeautifulquarters.gov,executive,Department of the Treasury,No,Yes
americorpsweek.gov,executive,Corporation for National & Community Service,No,No
ameslab.gov,executive,Department of Energy,No,No
amtrakoig.gov,executive,AMTRAK,No,No
anchorit.gov,executive,Consumer Product Safety Commission,No,Yes
anstaskforce.gov,executive,Department of the Interior,No,No
aoa.gov,executive,Department of Health And Human Services,No,No
arc.gov,executive,Appalachian Regional Commission,No,No
archives.gov,executive,National Archives and Records Administration,No,Yes
arctic.gov,executive,National Science Foundation,No,Yes
arcticgas.gov,executive,National Science Foundation,No,No
ars-grin.gov,executive,Department of Agriculture,No,No
arts.gov,executive,National Endowment for the Arts,No,No
asap.gov,executive,Department of the Treasury,No,No
asc.gov,executive,Appraisal Subcommittee,No,No
atf.gov,executive,Department of Justice,No,Yes
autocommunities.gov,executive,Department of Labor,No,Yes
aviationweather.gov,executive,Department of Commerce,No,No
ayudaconmibanco.gov,executive,Department of the Treasury,No,Yes
bankanswers.gov,executive,Department of the Treasury,No,Yes
bankcustomer.gov,executive,Department of the Treasury,No,Yes
bankcustomerassistance.gov,executive,Department of the Treasury,No,Yes
bankhelp.gov,executive,Department of the Treasury,No,Yes
banknet.gov,executive,Department of the Treasury,No,No
bbg.gov,executive,International Broadcasting Bureau,No,No
bea.gov,executive,Department of Commerce,No,Yes
benefits.gov,executive,Department of Labor,No,Yes
bep.gov,executive,Department of the Treasury,No,Yes
bfem.gov,executive,Department of the Treasury,No,No
bia.gov,executive,Department of the Interior,No,Yes
bioeco.gov,executive,Department of the Interior,No,No
biomassboard.gov,executive,Department of Energy,No,No
biometrics.gov,executive,Department of Homeland Security,No,No
biopreferred.gov,executive,Department of Agriculture,No,No
bja.gov,executive,Department of Justice,No,Yes
bjs.gov,executive,Department of Justice,No,No
bldrdoc.gov,executive,Department of Commerce,No,Yes
blm.gov,executive,Department of the Interior,No,No
bls.gov,executive,Department of Labor,No,Yes
boem.gov,executive,Department of the Interior,No,No
boemre.gov,executive,Department of the Interior,No,No
bondpro.gov,executive,Department of the Treasury,No,Yes
bop.gov,executive,Department of Justice,No,Yes
bpa.gov,executive,Department of Energy,No,No
brac.gov,executive,Department of Defense,No,Yes
brc.gov,executive,Department of Energy,No,No
broadband.gov,executive,Federal Communications Commission,No,No
broadbandmap.gov,executive,Federal Communications Commission,No,No
bsee.gov,executive,Department of the Interior,No,No
buyusa.gov,executive,Department of Commerce,No,Yes
cancer.gov,executive,Department of Health And Human Services,No,No
